Lifter Name,Age,Weight Class,Lift Type,Amount Lifted (kg)
Chris Brown,29,52 kg,Deadlift,143
Chris Brown,40,66 kg,Deadlift,170
Sarah Thomas,60,105 kg,Deadlift,134
Matthew Anderson,57,120 kg,Squat,131
Jane Smith,18,52 kg,Deadlift,313
Jessica Wilson,42,59 kg,Deadlift,198
Laura Taylor,45,Open,Bench Press,269
John Doe,48,120 kg,Bench Press,392
Jane Smith,42,Open,Squat,157
Emily Davis,46,83 kg,Squat,293
Sarah Thomas,42,120 kg,Bench Press,150
Michael Johnson,48,105 kg,Deadlift,124
Matthew Anderson,64,Open,Squat,350
Michael Johnson,50,Open,Deadlift,356
Chris Brown,64,59 kg,Bench Press,198
Matthew Anderson,53,59 kg,Squat,234
Michael Johnson,40,83 kg,Deadlift,253
Sarah Thomas,26,52 kg,Deadlift,130
Matthew Anderson,21,105 kg,Bench Press,379
Laura Taylor,54,66 kg,Deadlift,395
Matthew Anderson,32,93 kg,Deadlift,226
Michael Johnson,54,120 kg,Bench Press,322
Emily Davis,35,66 kg,Bench Press,250
Emily Davis,37,66 kg,Deadlift,376
Daniel Lee,42,Open,Deadlift,256
John Doe,42,105 kg,Bench Press,287
Emily Davis,53,52 kg,Bench Press,162
Daniel Lee,19,66 kg,Bench Press,276
Emily Davis,30,74 kg,Bench Press,221
Sarah Thomas,38,59 kg,Bench Press,345
Daniel Lee,25,93 kg,Squat,371
Emily Davis,40,93 kg,Squat,184
Michael Johnson,62,66 kg,Bench Press,107
Michael Johnson,33,59 kg,Deadlift,213
Michael Johnson,50,Open,Squat,252
Daniel Lee,51,93 kg,Deadlift,342
Chris Brown,31,66 kg,Bench Press,172
Daniel Lee,19,66 kg,Deadlift,218
John Doe,21,59 kg,Deadlift,116
Chris Brown,57,52 kg,Deadlift,286
Sarah Thomas,54,105 kg,Deadlift,227
Michael Johnson,56,120 kg,Squat,300
Jane Smith,45,74 kg,Squat,288
Daniel Lee,52,59 kg,Bench Press,304
Jane Smith,63,Open,Deadlift,135
Laura Taylor,56,Open,Bench Press,173
Jessica Wilson,43,93 kg,Bench Press,293
Daniel Lee,34,52 kg,Deadlift,241
Jane Smith,27,59 kg,Bench Press,386
Daniel Lee,43,83 kg,Deadlift,257
Daniel Lee,18,59 kg,Bench Press,288
Daniel Lee,33,59 kg,Squat,378
Daniel Lee,34,83 kg,Squat,218
Michael Johnson,60,52 kg,Deadlift,290
Jessica Wilson,54,74 kg,Deadlift,164
Michael Johnson,25,120 kg,Deadlift,332
Michael Johnson,41,105 kg,Bench Press,217
Emily Davis,58,74 kg,Bench Press,380
Michael Johnson,56,83 kg,Deadlift,395
Sarah Thomas,63,59 kg,Bench Press,398
Emily Davis,55,74 kg,Bench Press,334
Matthew Anderson,55,Open,Bench Press,198
Jessica Wilson,22,59 kg,Squat,374
Chris Brown,52,59 kg,Bench Press,369
Jessica Wilson,40,120 kg,Squat,225
Jane Smith,48,105 kg,Bench Press,127
Jessica Wilson,51,Open,Deadlift,279
Matthew Anderson,45,74 kg,Squat,252
Michael Johnson,25,Open,Deadlift,123
Sarah Thomas,31,83 kg,Squat,330
Sarah Thomas,43,Open,Squat,246
Jessica Wilson,55,66 kg,Bench Press,265
Daniel Lee,49,52 kg,Deadlift,373
Chris Brown,54,93 kg,Bench Press,242
John Doe,57,120 kg,Deadlift,223
Matthew Anderson,26,105 kg,Bench Press,332
Jessica Wilson,36,59 kg,Squat,161
Jessica Wilson,38,105 kg,Bench Press,299
Jessica Wilson,43,105 kg,Bench Press,138
Jane Smith,57,59 kg,Deadlift,155
John Doe,47,83 kg,Squat,237
John Doe,20,83 kg,Deadlift,271
John Doe,58,Open,Squat,362
John Doe,35,93 kg,Squat,298
John Doe,58,74 kg,Squat,144
Laura Taylor,57,74 kg,Squat,143
Daniel Lee,51,66 kg,Bench Press,339
Emily Davis,21,83 kg,Deadlift,226
Jessica Wilson,44,Open,Deadlift,106
Chris Brown,42,74 kg,Bench Press,341
Emily Davis,48,59 kg,Bench Press,234
Chris Brown,19,105 kg,Squat,279
Jessica Wilson,60,52 kg,Bench Press,303
Jane Smith,36,74 kg,Bench Press,353
Emily Davis,25,83 kg,Squat,318
Daniel Lee,61,93 kg,Deadlift,113
Laura Taylor,23,105 kg,Squat,179
Chris Brown,58,105 kg,Bench Press,130
John Doe,55,105 kg,Bench Press,112
John Doe,37,74 kg,Deadlift,227
Laura Taylor,52,74 kg,Squat,142
Emily Davis,39,93 kg,Deadlift,277
Emily Davis,54,59 kg,Bench Press,370
John Doe,42,93 kg,Deadlift,158
John Doe,48,120 kg,Deadlift,238
Sarah Thomas,19,74 kg,Squat,157
Chris Brown,18,52 kg,Bench Press,284
Chris Brown,42,66 kg,Deadlift,350
Jessica Wilson,63,93 kg,Squat,167
Matthew Anderson,22,83 kg,Deadlift,113
Matthew Anderson,18,Open,Bench Press,235
John Doe,54,52 kg,Bench Press,343
Jane Smith,38,59 kg,Squat,331
Jessica Wilson,22,120 kg,Squat,116
Sarah Thomas,23,52 kg,Deadlift,129
Sarah Thomas,32,59 kg,Bench Press,170
Daniel Lee,40,120 kg,Deadlift,153
Jane Smith,33,120 kg,Bench Press,143
Chris Brown,37,105 kg,Squat,229
John Doe,30,93 kg,Deadlift,327
Chris Brown,57,52 kg,Deadlift,159
Laura Taylor,50,105 kg,Squat,233
Laura Taylor,48,66 kg,Deadlift,250
Laura Taylor,38,66 kg,Deadlift,351
Daniel Lee,38,66 kg,Bench Press,352
Michael Johnson,23,83 kg,Bench Press,306
Daniel Lee,28,93 kg,Deadlift,376
John Doe,42,105 kg,Bench Press,370
Michael Johnson,29,93 kg,Deadlift,146
Laura Taylor,39,66 kg,Deadlift,175
Laura Taylor,24,93 kg,Deadlift,146
Michael Johnson,19,93 kg,Deadlift,235
Daniel Lee,31,105 kg,Bench Press,233
Jane Smith,33,105 kg,Bench Press,376
Emily Davis,61,59 kg,Bench Press,373
Laura Taylor,39,Open,Bench Press,391
John Doe,21,59 kg,Squat,118
Jessica Wilson,47,93 kg,Bench Press,196
Chris Brown,27,74 kg,Bench Press,328
Jessica Wilson,42,66 kg,Bench Press,227
Jessica Wilson,54,52 kg,Deadlift,152
Emily Davis,38,52 kg,Bench Press,287
Matthew Anderson,55,74 kg,Squat,245
John Doe,64,52 kg,Deadlift,395
Jane Smith,37,59 kg,Bench Press,387
Jessica Wilson,58,93 kg,Bench Press,270
Chris Brown,21,105 kg,Deadlift,166
Jane Smith,55,59 kg,Squat,138
Jessica Wilson,21,83 kg,Bench Press,228
John Doe,38,105 kg,Squat,112
Daniel Lee,56,83 kg,Bench Press,281
Matthew Anderson,48,59 kg,Squat,389
Matthew Anderson,51,52 kg,Bench Press,317
Daniel Lee,43,59 kg,Squat,267
Emily Davis,59,52 kg,Squat,334
Chris Brown,62,66 kg,Squat,208
Chris Brown,40,120 kg,Deadlift,369
Emily Davis,55,66 kg,Deadlift,363
Daniel Lee,20,66 kg,Squat,229
Jessica Wilson,45,74 kg,Bench Press,119
Sarah Thomas,64,59 kg,Bench Press,171
Matthew Anderson,55,105 kg,Deadlift,250
Jane Smith,46,83 kg,Bench Press,131
Emily Davis,53,74 kg,Bench Press,262
Matthew Anderson,51,74 kg,Squat,139
Jane Smith,43,83 kg,Bench Press,320
Jessica Wilson,28,66 kg,Squat,237
Matthew Anderson,57,93 kg,Squat,194
John Doe,26,105 kg,Squat,379
Emily Davis,35,59 kg,Squat,203
Laura Taylor,43,83 kg,Bench Press,223
Jane Smith,25,52 kg,Squat,134
Laura Taylor,47,105 kg,Bench Press,138
Matthew Anderson,57,52 kg,Bench Press,299
John Doe,59,93 kg,Bench Press,200
Laura Taylor,38,Open,Squat,379
Jessica Wilson,51,Open,Deadlift,200
Sarah Thomas,28,66 kg,Squat,271
Sarah Thomas,30,Open,Bench Press,138
Daniel Lee,20,83 kg,Squat,333
Matthew Anderson,50,66 kg,Bench Press,337
Laura Taylor,42,93 kg,Deadlift,265
Jessica Wilson,23,Open,Squat,174
Sarah Thomas,37,Open,Deadlift,292
Jane Smith,18,83 kg,Deadlift,322
John Doe,35,105 kg,Deadlift,314
John Doe,41,59 kg,Squat,177
Jessica Wilson,64,83 kg,Bench Press,129
Daniel Lee,38,83 kg,Deadlift,257
Emily Davis,54,105 kg,Squat,257
Daniel Lee,54,74 kg,Bench Press,214
Jane Smith,30,66 kg,Deadlift,159
Laura Taylor,62,93 kg,Deadlift,339
Laura Taylor,54,105 kg,Bench Press,313
John Doe,33,66 kg,Bench Press,135
Laura Taylor,55,74 kg,Deadlift,336
Daniel Lee,42,120 kg,Bench Press,317
John Doe,63,Open,Deadlift,290
Chris Brown,38,59 kg,Squat,384
Michael Johnson,25,105 kg,Deadlift,360
Laura Taylor,64,Open,Bench Press,190
Jessica Wilson,41,93 kg,Deadlift,131
Michael Johnson,38,83 kg,Deadlift,191
Matthew Anderson,23,66 kg,Bench Press,143
Jessica Wilson,25,59 kg,Squat,150
Daniel Lee,54,83 kg,Squat,240
Daniel Lee,27,Open,Deadlift,306
Chris Brown,23,120 kg,Bench Press,355
Jane Smith,43,66 kg,Deadlift,154
Jessica Wilson,51,93 kg,Squat,182
Chris Brown,38,66 kg,Bench Press,362
Jessica Wilson,18,59 kg,Deadlift,385
Jessica Wilson,51,83 kg,Squat,144
Daniel Lee,37,66 kg,Deadlift,118
Emily Davis,27,59 kg,Deadlift,390
Matthew Anderson,20,74 kg,Deadlift,203
Jane Smith,34,120 kg,Squat,317
Chris Brown,41,52 kg,Deadlift,292
Michael Johnson,43,93 kg,Bench Press,256
Sarah Thomas,60,105 kg,Squat,374
Laura Taylor,34,74 kg,Deadlift,189
Chris Brown,35,59 kg,Deadlift,255
Jane Smith,58,93 kg,Squat,210
Matthew Anderson,35,83 kg,Squat,353
Michael Johnson,55,93 kg,Deadlift,107
Emily Davis,59,Open,Deadlift,270
Emily Davis,56,59 kg,Deadlift,392
Chris Brown,30,52 kg,Squat,182
Jane Smith,24,120 kg,Deadlift,389
Daniel Lee,42,83 kg,Squat,169
Michael Johnson,51,74 kg,Squat,306
Jessica Wilson,32,66 kg,Squat,171
Chris Brown,23,52 kg,Deadlift,234
Sarah Thomas,27,74 kg,Bench Press,332
Jane Smith,55,66 kg,Squat,100
Jessica Wilson,56,74 kg,Bench Press,353
Sarah Thomas,29,59 kg,Deadlift,334
Chris Brown,43,66 kg,Bench Press,347
Jessica Wilson,34,105 kg,Squat,367
Laura Taylor,37,105 kg,Squat,108
Chris Brown,41,93 kg,Deadlift,320
Chris Brown,27,59 kg,Deadlift,226
Michael Johnson,60,120 kg,Bench Press,347
Michael Johnson,59,93 kg,Bench Press,181
Jane Smith,59,66 kg,Bench Press,265
Emily Davis,57,105 kg,Squat,136
John Doe,44,120 kg,Bench Press,394
Jane Smith,60,83 kg,Squat,328
Sarah Thomas,29,59 kg,Deadlift,167
Jane Smith,25,74 kg,Deadlift,292
Daniel Lee,45,83 kg,Bench Press,361
Sarah Thomas,50,66 kg,Squat,311
Matthew Anderson,48,105 kg,Bench Press,270
Daniel Lee,40,52 kg,Deadlift,100
Emily Davis,47,66 kg,Deadlift,188
John Doe,50,93 kg,Squat,112
Laura Taylor,20,93 kg,Deadlift,155
Emily Davis,40,93 kg,Squat,159
Michael Johnson,58,93 kg,Squat,302
Jessica Wilson,42,83 kg,Deadlift,134
Sarah Thomas,32,52 kg,Squat,186
Laura Taylor,20,120 kg,Deadlift,278
Emily Davis,21,83 kg,Deadlift,178
Chris Brown,51,74 kg,Squat,388
Laura Taylor,60,66 kg,Squat,319
Daniel Lee,54,120 kg,Bench Press,380
Laura Taylor,18,66 kg,Deadlift,387
Emily Davis,42,59 kg,Squat,176
Daniel Lee,56,52 kg,Squat,148
Sarah Thomas,30,105 kg,Deadlift,366
Emily Davis,33,83 kg,Deadlift,385
Laura Taylor,44,52 kg,Bench Press,261
Jane Smith,41,Open,Bench Press,121
Emily Davis,47,59 kg,Deadlift,300
Laura Taylor,34,66 kg,Bench Press,251
Matthew Anderson,36,59 kg,Bench Press,347
Matthew Anderson,63,120 kg,Deadlift,380
Chris Brown,51,52 kg,Deadlift,382
Jessica Wilson,21,59 kg,Squat,128
Emily Davis,56,Open,Deadlift,178
Daniel Lee,25,83 kg,Bench Press,223
Sarah Thomas,38,59 kg,Deadlift,394
Daniel Lee,42,93 kg,Squat,379
Michael Johnson,20,83 kg,Deadlift,354
Sarah Thomas,28,Open,Deadlift,289
Emily Davis,52,Open,Bench Press,316
Jessica Wilson,42,66 kg,Squat,245
Laura Taylor,18,74 kg,Bench Press,266
Sarah Thomas,24,66 kg,Squat,180
John Doe,31,59 kg,Bench Press,147
Laura Taylor,56,105 kg,Bench Press,366
Jane Smith,43,Open,Bench Press,294
Michael Johnson,45,Open,Squat,370
Jessica Wilson,23,93 kg,Bench Press,329
John Doe,63,Open,Squat,129
Jessica Wilson,59,59 kg,Bench Press,359
Matthew Anderson,41,120 kg,Squat,361
Sarah Thomas,42,83 kg,Squat,167
Matthew Anderson,31,105 kg,Bench Press,368
Michael Johnson,39,83 kg,Deadlift,100
Jessica Wilson,31,66 kg,Squat,260
Emily Davis,20,52 kg,Deadlift,138
Jane Smith,59,120 kg,Bench Press,224
Laura Taylor,19,59 kg,Bench Press,296
Emily Davis,63,52 kg,Squat,322
Matthew Anderson,18,59 kg,Squat,396
Jessica Wilson,32,59 kg,Bench Press,226
Jessica Wilson,54,66 kg,Squat,168
Jane Smith,25,59 kg,Squat,320
Sarah Thomas,27,59 kg,Deadlift,385
Laura Taylor,62,93 kg,Squat,244
Michael Johnson,22,93 kg,Deadlift,116
Jane Smith,34,93 kg,Deadlift,237
John Doe,34,120 kg,Squat,249
Jane Smith,34,Open,Bench Press,226
John Doe,21,105 kg,Squat,182
Jane Smith,58,120 kg,Deadlift,178
Jane Smith,20,Open,Squat,127
Daniel Lee,50,120 kg,Deadlift,227
Matthew Anderson,24,93 kg,Squat,391
Matthew Anderson,39,105 kg,Squat,183
Emily Davis,46,Open,Deadlift,110
Michael Johnson,40,52 kg,Bench Press,153
John Doe,45,Open,Bench Press,292
Laura Taylor,22,93 kg,Squat,250
Chris Brown,22,74 kg,Deadlift,303
Daniel Lee,49,Open,Squat,193
John Doe,20,59 kg,Deadlift,256
Jessica Wilson,43,66 kg,Deadlift,280
Emily Davis,48,83 kg,Squat,228
Emily Davis,29,74 kg,Squat,181
Sarah Thomas,28,83 kg,Squat,112
Chris Brown,20,105 kg,Deadlift,144
Sarah Thomas,29,93 kg,Deadlift,279
John Doe,30,83 kg,Bench Press,327
Daniel Lee,38,93 kg,Squat,366
Jessica Wilson,27,52 kg,Bench Press,349
Emily Davis,53,93 kg,Deadlift,288
John Doe,24,66 kg,Deadlift,205
John Doe,49,59 kg,Deadlift,272
Jane Smith,45,59 kg,Squat,247
Michael Johnson,28,59 kg,Deadlift,161
John Doe,26,120 kg,Deadlift,217
Michael Johnson,43,66 kg,Squat,208
Michael Johnson,55,52 kg,Deadlift,330
Sarah Thomas,33,93 kg,Squat,301
Daniel Lee,44,93 kg,Squat,369
Laura Taylor,23,66 kg,Squat,178
Matthew Anderson,36,83 kg,Squat,343
Sarah Thomas,18,105 kg,Squat,343
Matthew Anderson,54,105 kg,Squat,341
Michael Johnson,50,74 kg,Deadlift,286
Chris Brown,55,93 kg,Deadlift,216
Laura Taylor,36,Open,Squat,311
Laura Taylor,31,66 kg,Squat,271
Jessica Wilson,37,74 kg,Deadlift,224
Laura Taylor,20,74 kg,Bench Press,197
Michael Johnson,58,66 kg,Squat,392
Chris Brown,59,52 kg,Bench Press,327
Jane Smith,18,74 kg,Squat,258
Jane Smith,56,74 kg,Bench Press,284
Jane Smith,18,83 kg,Squat,348
Laura Taylor,27,93 kg,Deadlift,100
Sarah Thomas,21,52 kg,Deadlift,351
John Doe,23,52 kg,Deadlift,205
Sarah Thomas,35,83 kg,Bench Press,111
John Doe,36,93 kg,Deadlift,142
Michael Johnson,63,83 kg,Deadlift,361
Jane Smith,29,66 kg,Deadlift,274
Chris Brown,18,120 kg,Deadlift,271
Daniel Lee,56,120 kg,Deadlift,115
John Doe,62,93 kg,Squat,110
Daniel Lee,59,52 kg,Squat,114
Daniel Lee,35,74 kg,Deadlift,180
Michael Johnson,62,59 kg,Squat,263
Matthew Anderson,36,52 kg,Deadlift,238
Daniel Lee,24,93 kg,Deadlift,234
Daniel Lee,33,66 kg,Bench Press,127
Jessica Wilson,57,83 kg,Squat,341
Michael Johnson,18,52 kg,Squat,339
Jessica Wilson,55,74 kg,Bench Press,346
John Doe,54,52 kg,Bench Press,323
Emily Davis,25,93 kg,Deadlift,150
Sarah Thomas,63,Open,Deadlift,240
Sarah Thomas,29,59 kg,Deadlift,227
Laura Taylor,22,105 kg,Deadlift,390
John Doe,24,120 kg,Deadlift,398
Chris Brown,56,83 kg,Bench Press,308
Jane Smith,58,74 kg,Deadlift,210
Emily Davis,24,120 kg,Bench Press,277
Jessica Wilson,34,74 kg,Bench Press,248
Laura Taylor,52,93 kg,Bench Press,253
Daniel Lee,34,83 kg,Deadlift,372
Michael Johnson,50,52 kg,Bench Press,342
Laura Taylor,46,52 kg,Squat,274
Emily Davis,54,105 kg,Deadlift,292
Chris Brown,50,59 kg,Bench Press,302
Sarah Thomas,26,120 kg,Squat,348
Laura Taylor,39,59 kg,Deadlift,351
John Doe,42,93 kg,Bench Press,232
John Doe,34,105 kg,Squat,351
Jane Smith,39,74 kg,Deadlift,297
Matthew Anderson,28,59 kg,Deadlift,184
Emily Davis,50,59 kg,Squat,296
Jessica Wilson,26,105 kg,Squat,118
John Doe,55,Open,Squat,204
Jane Smith,24,83 kg,Deadlift,102
Jane Smith,44,83 kg,Deadlift,193
Emily Davis,60,74 kg,Deadlift,275
Laura Taylor,45,66 kg,Bench Press,297
Sarah Thomas,63,Open,Deadlift,270
Emily Davis,43,59 kg,Squat,184
Laura Taylor,38,105 kg,Deadlift,268
John Doe,38,74 kg,Bench Press,361
Michael Johnson,31,120 kg,Squat,200
Chris Brown,52,66 kg,Squat,123
Chris Brown,22,66 kg,Bench Press,257
Daniel Lee,32,Open,Bench Press,390
John Doe,42,Open,Bench Press,315
Jane Smith,19,74 kg,Deadlift,289
Laura Taylor,57,93 kg,Bench Press,138
Daniel Lee,61,74 kg,Bench Press,155
Jessica Wilson,31,74 kg,Deadlift,196
Jessica Wilson,54,59 kg,Bench Press,180
Laura Taylor,51,Open,Deadlift,381
Emily Davis,30,93 kg,Squat,276
Daniel Lee,34,74 kg,Squat,168
Matthew Anderson,23,93 kg,Squat,232
Matthew Anderson,51,105 kg,Deadlift,255
Michael Johnson,49,105 kg,Squat,353
Jane Smith,26,74 kg,Deadlift,168
John Doe,51,74 kg,Bench Press,234
Matthew Anderson,18,83 kg,Deadlift,252
Laura Taylor,50,120 kg,Bench Press,147
Laura Taylor,49,74 kg,Squat,259
John Doe,20,120 kg,Bench Press,124
Chris Brown,60,59 kg,Bench Press,312
Matthew Anderson,45,74 kg,Bench Press,339
John Doe,34,52 kg,Deadlift,202
Chris Brown,41,120 kg,Deadlift,232
Jessica Wilson,20,Open,Squat,222
Laura Taylor,25,66 kg,Bench Press,162
Michael Johnson,55,66 kg,Deadlift,200
Chris Brown,63,66 kg,Squat,278
Sarah Thomas,38,52 kg,Deadlift,330
Laura Taylor,18,93 kg,Deadlift,257
Jessica Wilson,25,66 kg,Squat,329
John Doe,43,Open,Squat,252
Chris Brown,42,83 kg,Deadlift,251
Sarah Thomas,19,52 kg,Bench Press,396
Chris Brown,53,74 kg,Squat,383
John Doe,48,52 kg,Squat,230
Michael Johnson,52,93 kg,Squat,216
Jessica Wilson,46,74 kg,Squat,295
Jessica Wilson,52,74 kg,Deadlift,218
Emily Davis,39,59 kg,Deadlift,138
John Doe,41,52 kg,Deadlift,228
John Doe,35,105 kg,Squat,149
Jane Smith,23,Open,Deadlift,213
Sarah Thomas,21,66 kg,Bench Press,388
Sarah Thomas,43,74 kg,Bench Press,225
Michael Johnson,39,120 kg,Deadlift,342
Jane Smith,24,52 kg,Deadlift,282
John Doe,37,83 kg,Deadlift,100
Jane Smith,40,74 kg,Squat,286
Daniel Lee,41,59 kg,Bench Press,127
Emily Davis,39,74 kg,Squat,151
Chris Brown,30,93 kg,Squat,210
Emily Davis,40,59 kg,Bench Press,194
Daniel Lee,28,93 kg,Deadlift,176
Chris Brown,32,93 kg,Bench Press,138
Michael Johnson,62,59 kg,Deadlift,387
Emily Davis,59,66 kg,Bench Press,346
Daniel Lee,23,120 kg,Deadlift,278
Emily Davis,57,74 kg,Deadlift,137
Emily Davis,28,93 kg,Squat,395
Matthew Anderson,44,59 kg,Deadlift,208
Jane Smith,44,105 kg,Deadlift,215
Emily Davis,37,120 kg,Bench Press,277
Emily Davis,64,120 kg,Deadlift,228
Jane Smith,34,105 kg,Deadlift,288
Jessica Wilson,19,Open,Deadlift,207
Emily Davis,37,105 kg,Deadlift,126
Daniel Lee,32,52 kg,Deadlift,328
Chris Brown,27,59 kg,Deadlift,205
Matthew Anderson,62,52 kg,Squat,147
Jessica Wilson,53,Open,Squat,152
Laura Taylor,53,120 kg,Bench Press,136
Jane Smith,26,93 kg,Squat,315
Matthew Anderson,44,59 kg,Bench Press,333
Michael Johnson,58,59 kg,Bench Press,157
John Doe,63,59 kg,Deadlift,199
John Doe,31,Open,Bench Press,155
Chris Brown,43,93 kg,Deadlift,249
Michael Johnson,62,105 kg,Bench Press,353
Jane Smith,32,120 kg,Squat,199
Michael Johnson,31,83 kg,Deadlift,154
Michael Johnson,24,59 kg,Squat,184
Emily Davis,61,59 kg,Deadlift,249
Chris Brown,26,120 kg,Deadlift,184
Laura Taylor,56,83 kg,Deadlift,215
Jessica Wilson,32,93 kg,Squat,114
Jane Smith,64,Open,Squat,169
Emily Davis,46,83 kg,Deadlift,332
Jane Smith,47,120 kg,Bench Press,246
John Doe,49,120 kg,Bench Press,262
Jane Smith,48,Open,Bench Press,124
Chris Brown,26,59 kg,Deadlift,370
John Doe,61,93 kg,Deadlift,302
Michael Johnson,20,105 kg,Deadlift,371
Jane Smith,33,120 kg,Deadlift,251
Emily Davis,46,105 kg,Squat,290
Jane Smith,52,59 kg,Squat,131
Chris Brown,55,74 kg,Squat,144
Laura Taylor,60,105 kg,Deadlift,282
Jessica Wilson,56,93 kg,Bench Press,167
Daniel Lee,55,105 kg,Squat,346
Sarah Thomas,42,74 kg,Deadlift,396
Michael Johnson,23,66 kg,Deadlift,223
Jessica Wilson,32,66 kg,Deadlift,124
Michael Johnson,52,52 kg,Squat,195
Michael Johnson,29,59 kg,Deadlift,127
Jane Smith,34,Open,Squat,138
Emily Davis,49,105 kg,Bench Press,311
Matthew Anderson,30,105 kg,Deadlift,240
Emily Davis,18,83 kg,Squat,261
John Doe,52,93 kg,Bench Press,256
Laura Taylor,18,120 kg,Deadlift,314
Emily Davis,34,66 kg,Squat,175
Matthew Anderson,22,66 kg,Deadlift,103
Michael Johnson,54,52 kg,Deadlift,338
Chris Brown,21,83 kg,Deadlift,279
Emily Davis,23,59 kg,Bench Press,330
Jane Smith,48,Open,Deadlift,350
Daniel Lee,60,74 kg,Bench Press,327
Jessica Wilson,38,Open,Squat,166
Matthew Anderson,63,83 kg,Deadlift,165
Chris Brown,33,74 kg,Bench Press,348
Emily Davis,55,74 kg,Squat,208
Daniel Lee,59,52 kg,Squat,291
Jessica Wilson,46,52 kg,Bench Press,328
Emily Davis,45,83 kg,Squat,381
Laura Taylor,63,105 kg,Deadlift,318
Matthew Anderson,51,52 kg,Deadlift,155
Matthew Anderson,29,66 kg,Squat,302
Emily Davis,45,66 kg,Squat,345
Laura Taylor,52,120 kg,Deadlift,295
Matthew Anderson,42,120 kg,Squat,332
Jessica Wilson,31,83 kg,Bench Press,339
Laura Taylor,25,66 kg,Squat,126
Michael Johnson,42,105 kg,Squat,282
Laura Taylor,19,52 kg,Squat,280
Matthew Anderson,53,66 kg,Deadlift,227
John Doe,36,105 kg,Deadlift,181
Laura Taylor,64,Open,Squat,333
Chris Brown,58,93 kg,Deadlift,267
Matthew Anderson,19,52 kg,Squat,113
Chris Brown,60,59 kg,Deadlift,286
Chris Brown,45,120 kg,Deadlift,288
John Doe,33,83 kg,Bench Press,194
Chris Brown,33,Open,Bench Press,189
Matthew Anderson,59,52 kg,Squat,199
John Doe,31,105 kg,Squat,285
John Doe,24,59 kg,Squat,212
Chris Brown,50,74 kg,Squat,262
Laura Taylor,46,52 kg,Deadlift,272
Emily Davis,24,105 kg,Deadlift,101
Laura Taylor,32,52 kg,Deadlift,350
Laura Taylor,49,83 kg,Squat,228
Michael Johnson,24,74 kg,Bench Press,364
Michael Johnson,51,93 kg,Bench Press,399
Jane Smith,64,83 kg,Squat,320
Laura Taylor,44,105 kg,Bench Press,321
John Doe,50,Open,Bench Press,388
Laura Taylor,64,59 kg,Bench Press,219
Jessica Wilson,49,93 kg,Squat,228
Sarah Thomas,25,93 kg,Deadlift,159
Laura Taylor,57,120 kg,Bench Press,142
Jane Smith,19,83 kg,Deadlift,100
Jane Smith,23,83 kg,Squat,388
Michael Johnson,55,74 kg,Squat,353
Chris Brown,45,Open,Deadlift,265
Jane Smith,56,66 kg,Squat,206
Chris Brown,63,120 kg,Squat,224
Jessica Wilson,41,74 kg,Bench Press,376
Matthew Anderson,30,52 kg,Squat,236
Michael Johnson,27,83 kg,Bench Press,269
Jane Smith,47,105 kg,Squat,180
Daniel Lee,47,52 kg,Bench Press,371
Emily Davis,31,105 kg,Bench Press,156
John Doe,41,83 kg,Bench Press,218
Emily Davis,42,120 kg,Deadlift,243
Sarah Thomas,27,59 kg,Deadlift,117
Jessica Wilson,22,59 kg,Deadlift,123
Jane Smith,55,66 kg,Squat,177
Emily Davis,29,59 kg,Bench Press,389
Laura Taylor,40,105 kg,Bench Press,173
Jane Smith,42,52 kg,Deadlift,299
Jane Smith,55,52 kg,Deadlift,281
Laura Taylor,58,83 kg,Squat,389
Sarah Thomas,58,105 kg,Squat,388
Chris Brown,52,52 kg,Deadlift,115
Michael Johnson,64,52 kg,Squat,359
John Doe,51,93 kg,Squat,383
Emily Davis,31,66 kg,Squat,265
Michael Johnson,51,Open,Deadlift,147
Chris Brown,25,66 kg,Deadlift,221
John Doe,30,66 kg,Deadlift,319
John Doe,27,93 kg,Bench Press,317
Sarah Thomas,64,52 kg,Deadlift,335
Emily Davis,47,Open,Deadlift,358
Matthew Anderson,30,105 kg,Deadlift,111
Emily Davis,53,59 kg,Bench Press,336
John Doe,52,93 kg,Squat,368
Chris Brown,19,66 kg,Deadlift,302
Chris Brown,35,74 kg,Deadlift,207
John Doe,61,66 kg,Deadlift,307
Michael Johnson,27,Open,Deadlift,303
Jessica Wilson,34,120 kg,Bench Press,111
Jessica Wilson,21,59 kg,Squat,115
Matthew Anderson,59,52 kg,Squat,182
Michael Johnson,40,59 kg,Bench Press,161
Laura Taylor,38,74 kg,Bench Press,212
Emily Davis,42,66 kg,Bench Press,339
Daniel Lee,51,59 kg,Bench Press,342
Jane Smith,38,Open,Bench Press,350
John Doe,39,59 kg,Bench Press,387
Michael Johnson,54,52 kg,Deadlift,164
Michael Johnson,62,59 kg,Bench Press,348
Jessica Wilson,30,120 kg,Deadlift,135
Jessica Wilson,44,Open,Squat,322
Jane Smith,20,120 kg,Squat,391
Michael Johnson,40,Open,Squat,146
Matthew Anderson,64,105 kg,Deadlift,190
Laura Taylor,37,66 kg,Squat,170
Emily Davis,36,52 kg,Bench Press,190
Laura Taylor,52,59 kg,Deadlift,154
Emily Davis,49,83 kg,Squat,167
Jane Smith,21,74 kg,Squat,254
John Doe,18,74 kg,Bench Press,397
Jane Smith,45,93 kg,Squat,168
John Doe,64,52 kg,Deadlift,335
